,kde200,bower
X: 2017-02-10 00:00:00~2017-04-10 23:59:59 -> Y: 2017-04-11 00:00:00~2017-04-17 23:59:59,"[0.57718120805369133, 1.792506904278047, 2.885936115887656]","[0.57718120805369133, 1.792506904278047, 2.885936115887656]"
X: 2017-02-11 00:00:00~2017-04-11 23:59:59 -> Y: 2017-04-12 00:00:00~2017-04-18 23:59:59,"[0.54074074074074074, 1.5215465582825283, 2.7037318804918202]","[0.53333333333333333, 1.5007034547444116, 2.666694457471384]"
X: 2017-02-12 00:00:00~2017-04-12 23:59:59 -> Y: 2017-04-13 00:00:00~2017-04-19 23:59:59,"[0.54263565891472865, 1.4590172476681778, 2.7132065701016987]","[0.56589147286821706, 1.5215465582825283, 2.829486851677486]"
X: 2017-02-13 00:00:00~2017-04-13 23:59:59 -> Y: 2017-04-14 00:00:00~2017-04-20 23:59:59,"[0.54285714285714282, 1.5840758688968788, 2.7143140013548015]","[0.55000000000000004, 1.6049189724349957, 2.7500286592673651]"
X: 2017-02-14 00:00:00~2017-04-14 23:59:59 -> Y: 2017-04-15 00:00:00~2017-04-21 23:59:59,"[0.56643356643356646, 1.6882913865874629, 2.8321973477515137]","[0.60839160839160844, 1.813350007816164, 3.0419897438812558]"
X: 2017-02-15 00:00:00~2017-04-15 23:59:59 -> Y: 2017-04-16 00:00:00~2017-04-22 23:59:59,"[0.58156028368794321, 1.7091344901255798, 2.9078317222427326]","[0.63120567375886527, 1.8550362148923976, 3.1560612595073563]"
X: 2017-02-16 00:00:00~2017-04-16 23:59:59 -> Y: 2017-04-17 00:00:00~2017-04-23 23:59:59,"[0.55555555555555558, 1.667448283049346, 2.7778067265326918]","[0.59722222222222221, 1.7933479303513711, 2.9875432986943777]"
X: 2017-02-17 00:00:00~2017-04-17 23:59:59 -> Y: 2017-04-18 00:00:00~2017-04-24 23:59:59,"[0.53146853146853146, 1.5840758688968788, 2.6573703509767288]","[0.58041958041958042, 1.7299775936636965, 2.9021281464614277]"
X: 2017-02-18 00:00:00~2017-04-18 23:59:59 -> Y: 2017-04-19 00:00:00~2017-04-25 23:59:59,"[0.48795180722891568, 1.6882913865874629, 2.4397844622196776]","[0.54819277108433739, 1.8972167205253831, 2.7417067414869529]"
X: 2017-02-19 00:00:00~2017-04-19 23:59:59 -> Y: 2017-04-20 00:00:00~2017-04-26 23:59:59,"[0.5, 1.813350007816164, 2.5000260538794228]","[0.55172413793103448, 2.0029209263509284, 2.7613833392087601]"
X: 2017-02-20 00:00:00~2017-04-20 23:59:59 -> Y: 2017-04-21 00:00:00~2017-04-27 23:59:59,"[0.50306748466257667, 1.7091344901255798, 2.5153636370320571]","[0.57055214723926384, 1.9384086290448648, 2.8527904663900161]"
X: 2017-02-21 00:00:00~2017-04-21 23:59:59 -> Y: 2017-04-22 00:00:00~2017-04-28 23:59:59,"[0.46745562130177515, 1.6466051795112293, 2.3373024645736615]","[0.53254437869822491, 1.8758793184305143, 2.662749643185184]"
X: 2017-02-22 00:00:00~2017-04-22 23:59:59 -> Y: 2017-04-23 00:00:00~2017-04-29 23:59:59,"[0.45180722891566266, 1.5632327653587619, 2.259059687240442]","[0.5, 1.7300677436164671, 2.5001563314226161]"
X: 2017-02-23 00:00:00~2017-04-23 23:59:59 -> Y: 2017-04-24 00:00:00~2017-04-30 23:59:59,"[0.44767441860465118, 1.6049189724349957, 2.2383954203339016]","[0.5, 1.792506904278047, 2.5000260538794228]"
X: 2017-02-24 00:00:00~2017-04-24 23:59:59 -> Y: 2017-04-25 00:00:00~2017-05-01 23:59:59,"[0.46470588235294119, 1.6466051795112293, 2.3235536265467576]","[0.51764705882352946, 1.8341931113542806, 2.5882622675457556]"
X: 2017-02-25 00:00:00~2017-04-25 23:59:59 -> Y: 2017-04-26 00:00:00~2017-05-02 23:59:59,"[0.57232704402515722, 1.8967224219686312, 2.8616650428053769]","[0.5911949685534591, 1.9592517325829817, 2.9560056486121473]"
X: 2017-02-26 00:00:00~2017-04-26 23:59:59 -> Y: 2017-04-27 00:00:00~2017-05-03 23:59:59,"[0.58823529411764708, 1.8758793184305143, 2.9412071222110856]","[0.62745098039215685, 2.0009379396592153, 3.1372875970251579]"
X: 2017-02-27 00:00:00~2017-04-27 23:59:59 -> Y: 2017-04-28 00:00:00~2017-05-04 23:59:59,"[0.56874999999999998, 1.8967224219686312, 2.8437796362878429]","[0.59999999999999998, 2.0009379396592153, 3.0000312646553069]"
X: 2017-02-28 00:00:00~2017-04-28 23:59:59 -> Y: 2017-04-29 00:00:00~2017-05-05 23:59:59,"[0.59090909090909094, 1.8967224219686312, 2.9545762454938633]","[0.61688311688311692, 1.9800948361210984, 3.0844477288122749]"
X: 2017-03-01 00:00:00~2017-04-29 23:59:59 -> Y: 2017-04-30 00:00:00~2017-05-06 23:59:59,"[0.59602649006622521, 1.8758793184305143, 2.9801635079357358]","[0.62251655629139069, 1.9592517325829817, 3.112615219399546]"
X: 2017-03-02 00:00:00~2017-04-30 23:59:59 -> Y: 2017-05-01 00:00:00~2017-05-07 23:59:59,"[0.59183673469387754, 1.813350007816164, 2.9592145127552349]","[0.61224489795918369, 1.8758793184305143, 3.0612563925054155]"
X: 2017-03-03 00:00:00~2017-05-01 23:59:59 -> Y: 2017-05-02 00:00:00~2017-05-08 23:59:59,"[0.58974358974358976, 1.9175655255067481, 2.9487486789347037]","[0.60256410256410253, 1.9593538301198543, 3.0130089122272552]"
X: 2017-03-04 00:00:00~2017-05-02 23:59:59 -> Y: 2017-05-03 00:00:00~2017-05-09 23:59:59,"[0.58666666666666667, 1.8341931113542806, 2.9333639032185226]","[0.62, 1.9396214609729392, 3.1019719484853225]"
X: 2017-03-05 00:00:00~2017-05-03 23:59:59 -> Y: 2017-05-04 00:00:00~2017-05-10 23:59:59,"[0.5816993464052288, 1.8550362148923976, 2.9085270430754071]","[0.6470588235294118, 2.0634672502735656, 3.2353278344321943]"
X: 2017-03-06 00:00:00~2017-05-04 23:59:59 -> Y: 2017-05-05 00:00:00~2017-05-11 23:59:59,"[0.60689655172413792, 1.8341931113542806, 3.0345143826398511]","[0.6344827586206897, 1.9176654507556021, 3.1726121722880096]"
X: 2017-03-07 00:00:00~2017-05-05 23:59:59 -> Y: 2017-05-06 00:00:00~2017-05-12 23:59:59,"[0.61250000000000004, 2.0426241467354491, 3.062531916002293]","[0.61875000000000002, 2.0634672502735656, 3.0937822416757856]"
X: 2017-03-08 00:00:00~2017-05-06 23:59:59 -> Y: 2017-05-07 00:00:00~2017-05-13 23:59:59,"[0.57055214723926384, 1.9384086290448648, 2.8527904663900161]","[0.59509202453987731, 2.0217810431973322, 2.9754911316110921]"
X: 2017-03-09 00:00:00~2017-05-07 23:59:59 -> Y: 2017-05-08 00:00:00~2017-05-14 23:59:59,"[0.55421686746987953, 1.9175655255067481, 2.7711132163482759]","[0.56024096385542166, 1.9386106623586432, 2.8015259746579209]"
X: 2017-03-10 00:00:00~2017-05-08 23:59:59 -> Y: 2017-05-09 00:00:00~2017-05-15 23:59:59,"[0.54913294797687862, 1.9800948361210984, 2.7456933539716202]","[0.55491329479768781, 2.0010422094841065, 2.7747399747580475]"
X: 2017-03-11 00:00:00~2017-05-09 23:59:59 -> Y: 2017-05-10 00:00:00~2017-05-16 23:59:59,"[0.55191256830601088, 2.1051534573497994, 2.7595916004570675]","[0.52459016393442626, 2.0010422094841065, 2.6231148395253676]"
X: 2017-03-12 00:00:00~2017-05-10 23:59:59 -> Y: 2017-05-11 00:00:00~2017-05-17 23:59:59,"[0.5641025641025641, 2.2927413891928508, 2.8205422146331949]","[0.55384615384615388, 2.2512898014487468, 2.769548258818153]"
X: 2017-03-13 00:00:00~2017-05-11 23:59:59 -> Y: 2017-05-12 00:00:00~2017-05-18 23:59:59,"[0.51485148514851486, 2.1676827679641497, 2.5742842534996035]","[0.52970297029702973, 2.2302120785785005, 2.6485424531197843]"
X: 2017-03-14 00:00:00~2017-05-12 23:59:59 -> Y: 2017-05-13 00:00:00~2017-05-19 23:59:59,"[0.48648648648648651, 1.8758793184305143, 2.4324577821529521]","[0.51891891891891895, 2.0015637216575448, 2.5954330875050187]"
X: 2017-03-15 00:00:00~2017-05-13 23:59:59 -> Y: 2017-05-14 00:00:00~2017-05-20 23:59:59,"[0.50264550264550267, 1.9800948361210984, 2.5132537049581498]","[0.55555555555555558, 2.1885258715022666, 2.7778067265326918]"
X: 2017-03-16 00:00:00~2017-05-14 23:59:59 -> Y: 2017-05-15 00:00:00~2017-05-21 23:59:59,"[0.5, 1.9384086290448648, 2.5000260538794228]","[0.56989247311827962, 2.211443175298597, 2.8521672221633358]"
X: 2017-03-17 00:00:00~2017-05-15 23:59:59 -> Y: 2017-05-16 00:00:00~2017-05-22 23:59:59,"[0.5730337078651685, 2.1259965608879163, 2.865198398828102]","[0.6348314606741573, 2.3552706998072015, 3.1741903830154468]"
X: 2017-03-18 00:00:00~2017-05-16 23:59:59 -> Y: 2017-05-17 00:00:00~2017-05-23 23:59:59,"[0.57309941520467833, 2.0426241467354491, 2.8655269389495133]","[0.63157894736842102, 2.2510551821166174, 3.1579276470055864]"
X: 2017-03-19 00:00:00~2017-05-17 23:59:59 -> Y: 2017-05-18 00:00:00~2017-05-24 23:59:59,"[0.61349693251533743, 2.0843103538116825, 3.067516630526899]","[0.63190184049079756, 2.1470634217520455, 3.1598714370803571]"
X: 2017-03-20 00:00:00~2017-05-18 23:59:59 -> Y: 2017-05-19 00:00:00~2017-05-25 23:59:59,"[0.66863905325443784, 2.3552706998072015, 3.3432301075547306]","[0.67455621301775148, 2.376113803345318, 3.3728162147012331]"
X: 2017-03-21 00:00:00~2017-05-19 23:59:59 -> Y: 2017-05-20 00:00:00~2017-05-26 23:59:59,"[0.67428571428571427, 2.4594862174977856, 3.3714637069459643]","[0.70285714285714285, 2.5693247689174372, 3.5220303932320225]"
X: 2017-03-22 00:00:00~2017-05-20 23:59:59 -> Y: 2017-05-21 00:00:00~2017-05-27 23:59:59,"[0.6470588235294118, 2.2927413891928508, 3.2353278344321943]","[0.64117647058823535, 2.2718982856547338, 3.2059157632100832]"
X: 2017-03-23 00:00:00~2017-05-21 23:59:59 -> Y: 2017-05-22 00:00:00~2017-05-28 23:59:59,"[0.64197530864197527, 2.1676827679641497, 3.2099099951044439]","[0.59876543209876543, 2.0217810431973322, 2.9938583608185678]"
X: 2017-03-24 00:00:00~2017-05-22 23:59:59 -> Y: 2017-05-23 00:00:00~2017-05-29 23:59:59,"[0.6095890410958904, 1.8550362148923976, 3.0479769697982002]","[0.5547945205479452, 1.6882913865874629, 2.7740015118388115]"
X: 2017-03-25 00:00:00~2017-05-23 23:59:59 -> Y: 2017-05-24 00:00:00~2017-05-30 23:59:59,"[0.61428571428571432, 1.792506904278047, 3.0714605804804336]","[0.57857142857142863, 1.6883793642522149, 2.8930380406461702]"
X: 2017-03-26 00:00:00~2017-05-24 23:59:59 -> Y: 2017-05-25 00:00:00~2017-05-31 23:59:59,"[0.58041958041958042, 1.7299775936636965, 2.9021281464614277]","[0.55944055944055948, 1.667448283049346, 2.7972319483965569]"
X: 2017-03-27 00:00:00~2017-05-25 23:59:59 -> Y: 2017-05-26 00:00:00~2017-06-01 23:59:59,"[0.55639097744360899, 1.5423896618206452, 2.7819838795049212]","[0.55639097744360899, 1.5425504195111783, 2.7822738356130565]"
X: 2017-03-28 00:00:00~2017-05-26 23:59:59 -> Y: 2017-05-27 00:00:00~2017-06-02 23:59:59,"[0.53846153846153844, 1.4590172476681778, 2.6923357503316856]","[0.51538461538461533, 1.3964879370538272, 2.5769499324603276]"
X: 2017-03-29 00:00:00~2017-05-27 23:59:59 -> Y: 2017-05-28 00:00:00~2017-06-03 23:59:59,"[0.56000000000000005, 1.4590172476681778, 2.8000291803449535]","[0.54400000000000004, 1.4176265179548653, 2.720595403137541]"
X: 2017-03-30 00:00:00~2017-05-28 23:59:59 -> Y: 2017-05-29 00:00:00~2017-06-04 23:59:59,"[0.56153846153846154, 1.5215465582825283, 2.8077215682030441]","[0.52307692307692311, 1.4177004065464403, 2.6160934655878889]"
X: 2017-03-31 00:00:00~2017-05-29 23:59:59 -> Y: 2017-05-30 00:00:00~2017-06-05 23:59:59,"[0.54347826086956519, 1.5632327653587619, 2.7174196237819808]","[0.5, 1.4382490880667016, 2.5001563314226161]"
X: 2017-04-01 00:00:00~2017-05-30 23:59:59 -> Y: 2017-05-31 00:00:00~2017-06-06 23:59:59,"[0.55555555555555558, 1.7716638007399301, 2.7778067265326918]","[0.52287581699346408, 1.6821742101666404, 2.6374952371037605]"
X: 2017-04-02 00:00:00~2017-05-31 23:59:59 -> Y: 2017-06-01 00:00:00~2017-06-07 23:59:59,"[0.54054054054054057, 1.667448283049346, 2.7027308690588354]","[0.54054054054054057, 1.6762702985856472, 2.7170302832953435]"
X: 2017-04-03 00:00:00~2017-06-01 23:59:59 -> Y: 2017-06-02 00:00:00~2017-06-08 23:59:59,"[0.57516339869281041, 1.8341931113542806, 2.8758469639397277]","[0.53594771241830064, 1.7135095601295582, 2.6866261985586903]"
X: 2017-04-04 00:00:00~2017-06-02 23:59:59 -> Y: 2017-06-03 00:00:00~2017-06-09 23:59:59,"[0.53642384105960261, 1.6882913865874629, 2.682147157142162]","[0.50993377483443714, 1.6049189724349957, 2.5496954456783518]"
X: 2017-04-05 00:00:00~2017-06-03 23:59:59 -> Y: 2017-06-04 00:00:00~2017-06-10 23:59:59,"[0.58783783783783783, 1.813350007816164, 2.9392198201014832]","[0.59459459459459463, 1.8341931113542806, 2.9730039559647188]"
X: 2017-04-06 00:00:00~2017-06-04 23:59:59 -> Y: 2017-06-05 00:00:00~2017-06-11 23:59:59,"[0.59333333333333338, 1.8550362148923976, 2.9666975839369152]","[0.58666666666666667, 1.8343842826619419, 2.9336696371184878]"
X: 2017-04-07 00:00:00~2017-06-05 23:59:59 -> Y: 2017-06-06 00:00:00~2017-06-12 23:59:59,"[0.59477124183006536, 1.8967224219686312, 2.9738872013467641]","[0.56209150326797386, 1.7926003126628454, 2.8106332614685621]"
X: 2017-04-08 00:00:00~2017-06-06 23:59:59 -> Y: 2017-06-07 00:00:00~2017-06-13 23:59:59,"[0.60150375939849621, 1.667448283049346, 3.0075501400053204]","[0.55639097744360899, 1.5424700364773321, 2.7821288500041139]"
X: 2017-04-09 00:00:00~2017-06-07 23:59:59 -> Y: 2017-06-08 00:00:00~2017-06-14 23:59:59,"[0.6015625, 1.6049189724349957, 3.0078438460736803]","[0.5390625, 1.4382490880667016, 2.6954810448150082]"
X: 2017-04-10 00:00:00~2017-06-08 23:59:59 -> Y: 2017-06-09 00:00:00~2017-06-15 23:59:59,"[0.58196721311475408, 1.4798603512062947, 2.9098663905809672]","[0.55737704918032782, 1.4173310405919441, 2.7869142895705035]"
X: 2017-04-11 00:00:00~2017-06-09 23:59:59 -> Y: 2017-06-10 00:00:00~2017-06-16 23:59:59,"[0.61206896551724133, 1.4798603512062947, 3.0603767211282586]","[0.57758620689655171, 1.3964879370538272, 2.88796113120554]"
X: 2017-04-12 00:00:00~2017-06-10 23:59:59 -> Y: 2017-06-11 00:00:00~2017-06-17 23:59:59,"[0.61363636363636365, 1.6882913865874629, 3.0682137933974731]","[0.60606060606060608, 1.667448283049346, 3.0303346107629365]"
X: 2017-04-13 00:00:00~2017-06-11 23:59:59 -> Y: 2017-06-12 00:00:00~2017-06-18 23:59:59,"[0.60563380281690138, 1.792506904278047, 3.0282005723046526]","[0.60563380281690138, 1.792506904278047, 3.0282005723046526]"
X: 2017-04-14 00:00:00~2017-06-12 23:59:59 -> Y: 2017-06-13 00:00:00~2017-06-19 23:59:59,"[0.58741258741258739, 1.7508206972018134, 2.9370935458163845]","[0.59440559440559437, 1.7727723030397831, 2.9739185159175769]"
X: 2017-04-15 00:00:00~2017-06-13 23:59:59 -> Y: 2017-06-14 00:00:00~2017-06-20 23:59:59,"[0.54605263157894735, 1.7299775936636965, 2.73029161147358]","[0.53947368421052633, 1.7091344901255798, 2.6973965318172719]"
X: 2017-04-16 00:00:00~2017-06-14 23:59:59 -> Y: 2017-06-15 00:00:00~2017-06-21 23:59:59,"[0.54878048780487809, 1.8758793184305143, 2.743931034745708]","[0.54878048780487809, 1.8759770713913499, 2.7440740222931153]"
X: 2017-04-17 00:00:00~2017-06-15 23:59:59 -> Y: 2017-06-16 00:00:00~2017-06-22 23:59:59,"[0.57499999999999996, 1.9175655255067481, 2.875029961961336]","[0.56874999999999998, 1.8969201104799627, 2.8440760331439887]"
X: 2017-04-18 00:00:00~2017-06-16 23:59:59 -> Y: 2017-06-17 00:00:00~2017-06-23 23:59:59,"[0.54216867469879515, 1.8758793184305143, 2.7108716246885303]","[0.59638554216867468, 2.0634672502735656, 2.9819587871573834]"
X: 2017-04-19 00:00:00~2017-06-17 23:59:59 -> Y: 2017-06-18 00:00:00~2017-06-24 23:59:59,"[0.55000000000000004, 1.8341931113542806, 2.7500286592673651]","[0.57499999999999996, 1.9175655255067481, 2.875029961961336]"
X: 2017-04-20 00:00:00~2017-06-18 23:59:59 -> Y: 2017-06-19 00:00:00~2017-06-25 23:59:59,"[0.53424657534246578, 1.6257620759731124, 2.6712607151040406]","[0.54109589041095896, 1.6466051795112293, 2.7055076473489645]"
X: 2017-04-21 00:00:00~2017-06-19 23:59:59 -> Y: 2017-06-20 00:00:00~2017-06-26 23:59:59,"[0.52027027027027029, 1.6049189724349957, 2.6013784614691291]","[0.52702702702702697, 1.6258467952058366, 2.6352999169049194]"
X: 2017-04-22 00:00:00~2017-06-20 23:59:59 -> Y: 2017-06-21 00:00:00~2017-06-27 23:59:59,"[0.55769230769230771, 1.813350007816164, 2.7884905985578174]","[0.55128205128205132, 1.792506904278047, 2.7564389824824405]"
X: 2017-04-23 00:00:00~2017-06-21 23:59:59 -> Y: 2017-06-22 00:00:00~2017-06-28 23:59:59,"[0.58108108108108103, 1.792506904278047, 2.9054356842382476]","[0.55405405405405406, 1.7110067814293168, 2.7733338972775594]"
