,kde200,bower
X: 2016-10-21 00:00:00~2016-12-19 23:59:59 -> Y: 2016-12-20 00:00:00~2016-12-21 23:59:59,"[0.63043478260869568, 0.60445000260538795, 3.1522067635870981]","[0.56521739130434778, 0.54192069199103743, 2.82611640873326]"
X: 2016-10-22 00:00:00~2016-12-20 23:59:59 -> Y: 2016-12-21 00:00:00~2016-12-22 23:59:59,"[0.64444444444444449, 0.60445000260538795, 3.2222558027779229]","[0.59999999999999998, 0.56276379552915434, 3.0000312646553069]"
X: 2016-10-23 00:00:00~2016-12-21 23:59:59 -> Y: 2016-12-22 00:00:00~2016-12-23 23:59:59,"[0.64406779661016944, 0.7920379344484394, 3.2203725439802731]","[0.6271186440677966, 0.77119483091032259, 3.1356258980860554]"
X: 2016-10-24 00:00:00~2016-12-22 23:59:59 -> Y: 2016-12-23 00:00:00~2016-12-24 23:59:59,"[0.59999999999999998, 0.56276379552915434, 3.0000312646553069]","[0.62222222222222223, 0.58360689906727115, 3.1111435337166147]"
X: 2016-10-25 00:00:00~2016-12-23 23:59:59 -> Y: 2016-12-24 00:00:00~2016-12-25 23:59:59,"[0.7142857142857143, 0.4168620707623365, 3.5714657912563181]","[0.7142857142857143, 0.4168620707623365, 3.5714657912563181]"
X: 2016-10-26 00:00:00~2016-12-24 23:59:59 -> Y: 2016-12-25 00:00:00~2016-12-26 23:59:59,"[0.6470588235294118, 0.45854827783857016, 3.2353278344321943]","[0.67647058823529416, 0.47939138137668702, 3.3823881905427484]"
X: 2016-10-27 00:00:00~2016-12-25 23:59:59 -> Y: 2016-12-26 00:00:00~2016-12-27 23:59:59,"[0.54545454545454541, 0.3751758636861029, 2.7273011496866428]","[0.63636363636363635, 0.43777360850531583, 3.1823488164951579]"
X: 2016-10-28 00:00:00~2016-12-26 23:59:59 -> Y: 2016-12-27 00:00:00~2016-12-28 23:59:59,"[0.48571428571428571, 0.35433276014798604, 2.4285967380542961]","[0.5714285714285714, 0.4168620707623365, 2.8571726330050544]"
X: 2016-10-29 00:00:00~2016-12-27 23:59:59 -> Y: 2016-12-28 00:00:00~2016-12-29 23:59:59,"[0.56818181818181823, 0.52107758845292063, 2.8409386975902531]","[0.65909090909090906, 0.60445000260538795, 3.2954888892046932]"
X: 2016-10-30 00:00:00~2016-12-28 23:59:59 -> Y: 2016-12-29 00:00:00~2016-12-30 23:59:59,"[0.65909090909090906, 0.60445000260538795, 3.2954888892046932]","[0.72727272727272729, 0.66697931321973847, 3.6364015329155239]"
X: 2016-10-31 00:00:00~2016-12-29 23:59:59 -> Y: 2016-12-30 00:00:00~2016-12-31 23:59:59,"[0.67500000000000004, 0.56276379552915434, 3.3750351727372205]","[0.75, 0.62535827818020751, 3.7504299338162488]"
X: 2016-11-01 00:00:00~2016-12-30 23:59:59 -> Y: 2016-12-31 00:00:00~2017-01-01 23:59:59,"[0.63888888888888884, 0.47939138137668702, 3.1944777355125953]","[0.72222222222222221, 0.5419489317352788, 3.6113369231660011]"
X: 2016-11-02 00:00:00~2016-12-31 23:59:59 -> Y: 2017-01-01 00:00:00~2017-01-02 23:59:59,"[0.60465116279069764, 0.54192069199103743, 3.0232873209704643]","[0.67441860465116277, 0.60445000260538795, 3.3721281656978257]"
X: 2016-11-03 00:00:00~2017-01-01 23:59:59 -> Y: 2017-01-02 00:00:00~2017-01-03 23:59:59,"[0.62745098039215685, 0.66697931321973847, 3.1372875970251579]","[0.6470588235294118, 0.68782241675785527, 3.2353278344321943]"
X: 2016-11-04 00:00:00~2017-01-02 23:59:59 -> Y: 2017-01-03 00:00:00~2017-01-04 23:59:59,"[0.64814814814814814, 0.72950862383408888, 3.2407745142881406]","[0.72222222222222221, 0.8129657616342697, 3.6115251214526838]"
X: 2016-11-05 00:00:00~2017-01-03 23:59:59 -> Y: 2017-01-04 00:00:00~2017-01-05 23:59:59,"[0.59259259259259256, 0.66697931321973847, 2.9629938416348711]","[0.62962962962962965, 0.70866552029597207, 3.1481809567370509]"
X: 2016-11-06 00:00:00~2017-01-04 23:59:59 -> Y: 2017-01-05 00:00:00~2017-01-06 23:59:59,"[0.55172413793103448, 0.66697931321973847, 2.7586494387635008]","[0.53448275862068961, 0.64613620968162155, 2.672441643802141]"
X: 2016-11-07 00:00:00~2017-01-05 23:59:59 -> Y: 2017-01-06 00:00:00~2017-01-07 23:59:59,"[0.52380952380952384, 0.45854827783857016, 2.6190749135879665]","[0.54761904761904767, 0.47944134660482574, 2.7384091580245631]"
X: 2016-11-08 00:00:00~2017-01-06 23:59:59 -> Y: 2017-01-07 00:00:00~2017-01-08 23:59:59,"[0.5, 0.27096034599551871, 2.5000260538794228]","[0.57692307692307687, 0.31266284523189164, 2.8847957670260951]"
X: 2016-11-09 00:00:00~2017-01-07 23:59:59 -> Y: 2017-01-08 00:00:00~2017-01-09 23:59:59,"[0.65789473684210531, 0.52107758845292063, 3.2895079656308193]","[0.68421052631578949, 0.5420336686298014, 3.4218014938842911]"
X: 2016-11-10 00:00:00~2017-01-08 23:59:59 -> Y: 2017-01-09 00:00:00~2017-01-10 23:59:59,"[0.62745098039215685, 0.66697931321973847, 3.1372875970251579]","[0.60784313725490191, 0.64613620968162155, 3.0392473596181215]"
X: 2016-11-11 00:00:00~2017-01-09 23:59:59 -> Y: 2017-01-10 00:00:00~2017-01-11 23:59:59,"[0.62068965517241381, 0.75035172737220579, 3.1034806186089385]","[0.62068965517241381, 0.75035172737220579, 3.1034806186089385]"
X: 2016-11-12 00:00:00~2017-01-10 23:59:59 -> Y: 2017-01-11 00:00:00~2017-01-12 23:59:59,"[0.61702127659574468, 0.60445000260538795, 3.0851385345746065]","[0.57446808510638303, 0.56276379552915434, 2.8723703597763581]"
X: 2016-11-13 00:00:00~2017-01-11 23:59:59 -> Y: 2017-01-12 00:00:00~2017-01-13 23:59:59,"[0.63829787234042556, 0.62529310614350475, 3.1915226219737312]","[0.68085106382978722, 0.66697931321973847, 3.4042907967719795]"
X: 2016-11-14 00:00:00~2017-01-12 23:59:59 -> Y: 2017-01-13 00:00:00~2017-01-14 23:59:59,"[0.73913043478260865, 0.70866552029597207, 3.6956906883434941]","[0.76086956521739135, 0.72950862383408888, 3.8043874732947738]"
X: 2016-11-15 00:00:00~2017-01-13 23:59:59 -> Y: 2017-01-14 00:00:00~2017-01-15 23:59:59,"[0.73684210526315785, 0.58360689906727115, 3.6842489215065175]","[0.76315789473684215, 0.60445000260538795, 3.8158292401317504]"
X: 2016-11-16 00:00:00~2017-01-14 23:59:59 -> Y: 2017-01-15 00:00:00~2017-01-16 23:59:59,"[0.67441860465116277, 0.60445000260538795, 3.3721281656978257]","[0.7441860465116279, 0.66697931321973847, 3.7209690104251871]"
X: 2016-11-17 00:00:00~2017-01-15 23:59:59 -> Y: 2017-01-16 00:00:00~2017-01-17 23:59:59,"[0.5957446808510638, 0.58360689906727115, 2.9787544471754823]","[0.72340425531914898, 0.70870244919228775, 3.6172474582284662]"
X: 2016-11-18 00:00:00~2017-01-16 23:59:59 -> Y: 2017-01-17 00:00:00~2017-01-18 23:59:59,"[0.62, 0.64613620968162155, 3.1000323068104838]","[0.73999999999999999, 0.77119483091032259, 3.7000385597415453]"
X: 2016-11-19 00:00:00~2017-01-17 23:59:59 -> Y: 2017-01-18 00:00:00~2017-01-19 23:59:59,"[0.6428571428571429, 0.56276379552915434, 3.2143192121306865]","[0.76190476190476186, 0.66697931321973847, 3.8095635106734056]"
X: 2016-11-20 00:00:00~2017-01-18 23:59:59 -> Y: 2017-01-19 00:00:00~2017-01-20 23:59:59,"[0.70454545454545459, 0.64613620968162155, 3.5227639850119137]","[0.70454545454545459, 0.64654048699097977, 3.5249681232787755]"
X: 2016-11-21 00:00:00~2017-01-19 23:59:59 -> Y: 2017-01-20 00:00:00~2017-01-21 23:59:59,"[0.69387755102040816, 0.70866552029597207, 3.4694239115061376]","[0.63265306122448983, 0.64616988014590937, 3.1634631132286164]"
X: 2016-11-22 00:00:00~2017-01-20 23:59:59 -> Y: 2017-01-21 00:00:00~2017-01-22 23:59:59,"[0.72972972972972971, 0.56276379552915434, 3.6486866732294274]","[0.67567567567567566, 0.52107758845292063, 3.378413586323544]"
X: 2016-11-23 00:00:00~2017-01-21 23:59:59 -> Y: 2017-01-22 00:00:00~2017-01-23 23:59:59,"[0.81578947368421051, 0.64613620968162155, 4.0789898773822157]","[0.81578947368421051, 0.64613620968162155, 4.0789898773822157]"
X: 2016-11-24 00:00:00~2017-01-22 23:59:59 -> Y: 2017-01-23 00:00:00~2017-01-24 23:59:59,"[0.77777777777777779, 0.72950862383408888, 3.8889294171457687]","[0.80000000000000004, 0.75035172737220579, 4.0000416862070765]"
X: 2016-11-25 00:00:00~2017-01-23 23:59:59 -> Y: 2017-01-24 00:00:00~2017-01-25 23:59:59,"[0.67307692307692313, 0.72950862383408888, 3.3654196879146077]","[0.69230769230769229, 0.75039082855653993, 3.4617549204313143]"
X: 2016-11-26 00:00:00~2017-01-24 23:59:59 -> Y: 2017-01-25 00:00:00~2017-01-26 23:59:59,"[0.67164179104477617, 0.93793965921525713, 3.3582439529723591]","[0.67164179104477617, 0.93793965921525713, 3.3582439529723591]"
X: 2016-11-27 00:00:00~2017-01-25 23:59:59 -> Y: 2017-01-26 00:00:00~2017-01-27 23:59:59,"[0.71875, 0.95878276275337404, 3.5937874524516702]","[0.703125, 0.93793965921525713, 3.5156616382679382]"
X: 2016-11-28 00:00:00~2017-01-26 23:59:59 -> Y: 2017-01-27 00:00:00~2017-01-28 23:59:59,"[0.69230769230769229, 0.75035172737220579, 3.4615745361407391]","[0.65384615384615385, 0.70866552029597207, 3.2692648396884758]"
X: 2016-11-29 00:00:00~2017-01-27 23:59:59 -> Y: 2017-01-28 00:00:00~2017-01-29 23:59:59,"[0.68292682926829273, 0.58360689906727115, 3.414669732127992]","[0.68292682926829273, 0.58360689906727115, 3.414669732127992]"
X: 2016-11-30 00:00:00~2017-01-28 23:59:59 -> Y: 2017-01-29 00:00:00~2017-01-30 23:59:59,"[0.60869565217391308, 0.58360689906727115, 3.0435099786358188]","[0.65217391304347827, 0.62532569046378328, 3.2610734757686299]"
X: 2016-12-01 00:00:00~2017-01-29 23:59:59 -> Y: 2017-01-30 00:00:00~2017-01-31 23:59:59,"[0.5625, 0.56276379552915434, 2.8125293106143503]","[0.58333333333333337, 0.58360689906727115, 2.9166970628593267]"
X: 2016-12-02 00:00:00~2017-01-30 23:59:59 -> Y: 2017-01-31 00:00:00~2017-02-01 23:59:59,"[0.57499999999999996, 0.47939138137668702, 2.875029961961336]","[0.55000000000000004, 0.4588351843161792, 2.7517493091402057]"
X: 2016-12-03 00:00:00~2017-01-31 23:59:59 -> Y: 2017-02-01 00:00:00~2017-02-02 23:59:59,"[0.62222222222222223, 0.58360689906727115, 3.1111435337166147]","[0.59999999999999998, 0.56547463217969529, 3.0144824336352691]"
X: 2016-12-04 00:00:00~2017-02-01 23:59:59 -> Y: 2017-02-02 00:00:00~2017-02-03 23:59:59,"[0.75, 0.75035172737220579, 3.7500390808191337]","[0.75, 0.75035172737220579, 3.7500390808191337]"
X: 2016-12-05 00:00:00~2017-02-02 23:59:59 -> Y: 2017-02-03 00:00:00~2017-02-04 23:59:59,"[0.66666666666666663, 0.54192069199103743, 3.3333680718392298]","[0.58974358974358976, 0.47939138137668702, 2.9487486789347037]"
X: 2016-12-06 00:00:00~2017-02-03 23:59:59 -> Y: 2017-02-04 00:00:00~2017-02-05 23:59:59,"[0.51851851851851849, 0.29180344953363557, 2.592619611430512]","[0.55555555555555558, 0.31264655307175238, 2.7778067265326918]"
X: 2016-12-07 00:00:00~2017-02-04 23:59:59 -> Y: 2017-02-05 00:00:00~2017-02-06 23:59:59,"[0.68965517241379315, 0.4168620707623365, 3.4483117984543763]","[0.65517241379310343, 0.3960189672242197, 3.2758962085316572]"
X: 2016-12-08 00:00:00~2017-02-05 23:59:59 -> Y: 2017-02-06 00:00:00~2017-02-07 23:59:59,"[0.64102564102564108, 0.52107758845292063, 3.2051616075377214]","[0.61538461538461542, 0.50023448491480382, 3.0769551432362126]"
X: 2016-12-09 00:00:00~2017-02-06 23:59:59 -> Y: 2017-02-07 00:00:00~2017-02-08 23:59:59,"[0.62857142857142856, 0.45854827783857016, 3.1428898963055598]","[0.59999999999999998, 0.43770517430045336, 3.0000312646553069]"
X: 2016-12-10 00:00:00~2017-02-07 23:59:59 -> Y: 2017-02-08 00:00:00~2017-02-09 23:59:59,"[0.69444444444444442, 0.52107758845292063, 3.4722584081658647]","[0.69444444444444442, 0.5213220727765614, 3.4738875566213694]"
X: 2016-12-11 00:00:00~2017-02-08 23:59:59 -> Y: 2017-02-09 00:00:00~2017-02-10 23:59:59,"[0.59523809523809523, 0.52107758845292063, 2.9762214927135981]","[0.59523809523809523, 0.52107758845292063, 2.9762214927135981]"
X: 2016-12-12 00:00:00~2017-02-09 23:59:59 -> Y: 2017-02-10 00:00:00~2017-02-11 23:59:59,"[0.51515151515151514, 0.35433276014798604, 2.575784419148496]","[0.60606060606060608, 0.41697070780777651, 3.0311243362426521]"
X: 2016-12-13 00:00:00~2017-02-10 23:59:59 -> Y: 2017-02-11 00:00:00~2017-02-12 23:59:59,"[0.70370370370370372, 0.3960189672242197, 3.5185551869414096]","[0.66666666666666663, 0.37554767369079911, 3.3366715348772513]"
X: 2016-12-14 00:00:00~2017-02-11 23:59:59 -> Y: 2017-02-12 00:00:00~2017-02-13 23:59:59,"[0.60606060606060608, 0.4168620707623365, 3.0303346107629365]","[0.54545454545454541, 0.3751758636861029, 2.7273011496866428]"
X: 2016-12-15 00:00:00~2017-02-12 23:59:59 -> Y: 2017-02-13 00:00:00~2017-02-14 23:59:59,"[0.45945945945945948, 0.35433276014798604, 2.2973212387000101]","[0.45945945945945948, 0.35433276014798604, 2.2973212387000101]"
X: 2016-12-16 00:00:00~2017-02-13 23:59:59 -> Y: 2017-02-14 00:00:00~2017-02-15 23:59:59,"[0.48717948717948717, 0.3960189672242197, 2.4359228217286679]","[0.4358974358974359, 0.35435122459614388, 2.1796234684197167]"
X: 2016-12-17 00:00:00~2017-02-14 23:59:59 -> Y: 2017-02-15 00:00:00~2017-02-16 23:59:59,"[0.5957446808510638, 0.58360689906727115, 2.9787544471754823]","[0.7021276595744681, 0.68782241675785527, 3.5106748841711042]"
X: 2016-12-18 00:00:00~2017-02-15 23:59:59 -> Y: 2017-02-16 00:00:00~2017-02-17 23:59:59,"[0.57999999999999996, 0.60445000260538795, 2.90003022250013]","[0.80000000000000004, 0.833724141524673, 4.0000416862070765]"
X: 2016-12-19 00:00:00~2017-02-16 23:59:59 -> Y: 2017-02-17 00:00:00~2017-02-18 23:59:59,"[0.6216216216216216, 0.47939138137668702, 3.1081404994176602]","[0.70270270270270274, 0.54192069199103743, 3.513550129776486]"
X: 2016-12-20 00:00:00~2017-02-17 23:59:59 -> Y: 2017-02-18 00:00:00~2017-02-19 23:59:59,"[0.4838709677419355, 0.31264655307175238, 2.4193800521413769]","[0.45161290322580644, 0.29180344953363557, 2.258088048665285]"
X: 2016-12-21 00:00:00~2017-02-18 23:59:59 -> Y: 2017-02-19 00:00:00~2017-02-20 23:59:59,"[0.54838709677419351, 0.35433276014798604, 2.7419640590935601]","[0.5161290322580645, 0.33348965660986923, 2.5806720556174683]"
X: 2016-12-22 00:00:00~2017-02-19 23:59:59 -> Y: 2017-02-20 00:00:00~2017-02-21 23:59:59,"[0.61904761904761907, 0.54192069199103743, 3.0952703524221423]","[0.6428571428571429, 0.56276379552915434, 3.2143192121306865]"
X: 2016-12-23 00:00:00~2017-02-20 23:59:59 -> Y: 2017-02-21 00:00:00~2017-02-22 23:59:59,"[0.59649122807017541, 0.70866552029597207, 2.9824872221719425]","[0.63157894736842102, 0.75035172737220579, 3.1579276470055864]"
X: 2016-12-24 00:00:00~2017-02-21 23:59:59 -> Y: 2017-02-22 00:00:00~2017-02-23 23:59:59,"[0.55555555555555558, 0.52107758845292063, 2.7778067265326918]","[0.62222222222222223, 0.58360689906727115, 3.1111435337166147]"
X: 2016-12-25 00:00:00~2017-02-22 23:59:59 -> Y: 2017-02-23 00:00:00~2017-02-24 23:59:59,"[0.56756756756756754, 0.43770517430045336, 2.8378674125117769]","[0.51351351351351349, 0.39603960396039611, 2.5677281241637679]"
X: 2016-12-26 00:00:00~2017-02-23 23:59:59 -> Y: 2017-02-24 00:00:00~2017-02-25 23:59:59,"[0.65853658536585369, 0.56276379552915434, 3.2927172416948496]","[0.6097560975609756, 0.52140361854111272, 3.0507198549226224]"
X: 2016-12-27 00:00:00~2017-02-24 23:59:59 -> Y: 2017-02-25 00:00:00~2017-02-26 23:59:59,"[0.59375, 0.3960189672242197, 2.9687809389818143]","[0.5625, 0.3751758636861029, 2.8125293106143503]"
X: 2016-12-28 00:00:00~2017-02-25 23:59:59 -> Y: 2017-02-26 00:00:00~2017-02-27 23:59:59,"[0.47826086956521741, 0.22927413891928508, 2.3913292689281436]","[0.43478260869565216, 0.2084418968212611, 2.1740489838457528]"
X: 2016-12-29 00:00:00~2017-02-26 23:59:59 -> Y: 2017-02-27 00:00:00~2017-02-28 23:59:59,"[0.63636363636363635, 0.43770517430045336, 3.1818513413010834]","[0.63636363636363635, 0.43770517430045336, 3.1818513413010834]"
X: 2016-12-30 00:00:00~2017-02-27 23:59:59 -> Y: 2017-02-28 00:00:00~2017-03-01 23:59:59,"[0.59999999999999998, 0.62529310614350475, 3.0000312646553069]","[0.64000000000000001, 0.66697931321973847, 3.2000333489656612]"
X: 2016-12-31 00:00:00~2017-02-28 23:59:59 -> Y: 2017-03-01 00:00:00~2017-03-02 23:59:59,"[0.52173913043478259, 0.50023448491480382, 2.608722838830702]","[0.56521739130434778, 0.54197717442284643, 2.8264109646151439]"
X: 2017-01-01 00:00:00~2017-03-01 23:59:59 -> Y: 2017-03-02 00:00:00~2017-03-03 23:59:59,"[0.5714285714285714, 0.4168620707623365, 2.8571726330050544]","[0.59999999999999998, 0.4377279833246483, 3.0001875977071393]"
X: 2017-01-02 00:00:00~2017-03-02 23:59:59 -> Y: 2017-03-03 00:00:00~2017-03-04 23:59:59,"[0.6785714285714286, 0.3960189672242197, 3.3928925016935021]","[0.6785714285714286, 0.39603960396039611, 3.3930693069306934]"
X: 2017-01-03 00:00:00~2017-03-03 23:59:59 -> Y: 2017-03-04 00:00:00~2017-03-05 23:59:59,"[0.76470588235294112, 0.27096034599551871, 3.8235692588744108]","[0.70588235294117652, 0.250143311272083, 3.5298164082976462]"
X: 2017-01-04 00:00:00~2017-03-04 23:59:59 -> Y: 2017-03-05 00:00:00~2017-03-06 23:59:59,"[0.64000000000000001, 0.33348965660986923, 3.2000333489656612]","[0.64000000000000001, 0.33348965660986923, 3.2000333489656612]"
X: 2017-01-05 00:00:00~2017-03-05 23:59:59 -> Y: 2017-03-06 00:00:00~2017-03-07 23:59:59,"[0.61764705882352944, 0.43770517430045336, 3.0882674783216397]","[0.70588235294117652, 0.5003909304143862, 3.5305523616796211]"
X: 2017-01-06 00:00:00~2017-03-06 23:59:59 -> Y: 2017-03-07 00:00:00~2017-03-08 23:59:59,"[0.55172413793103448, 0.33348965660986923, 2.7586494387635008]","[0.65517241379310343, 0.3960189672242197, 3.2758962085316572]"
X: 2017-01-07 00:00:00~2017-03-07 23:59:59 -> Y: 2017-03-08 00:00:00~2017-03-09 23:59:59,"[0.46666666666666667, 0.29180344953363557, 2.3333576502874611]","[0.56666666666666665, 0.35466541490637876, 2.8360228793963733]"
X: 2017-01-08 00:00:00~2017-03-08 23:59:59 -> Y: 2017-03-09 00:00:00~2017-03-10 23:59:59,"[0.59999999999999998, 0.43770517430045336, 3.0000312646553069]","[0.5714285714285714, 0.4168620707623365, 2.8571726330050544]"
X: 2017-01-09 00:00:00~2017-03-09 23:59:59 -> Y: 2017-03-10 00:00:00~2017-03-11 23:59:59,"[0.73529411764705888, 0.52107758845292063, 3.6765089027638571]","[0.58823529411764708, 0.4168620707623365, 2.9412071222110856]"
X: 2017-01-10 00:00:00~2017-03-10 23:59:59 -> Y: 2017-03-11 00:00:00~2017-03-12 23:59:59,"[0.6428571428571429, 0.3751758636861029, 3.2143192121306865]","[0.4642857142857143, 0.27098858721142322, 2.3216947209338685]"
X: 2017-01-11 00:00:00~2017-03-11 23:59:59 -> Y: 2017-03-12 00:00:00~2017-03-13 23:59:59,"[0.69999999999999996, 0.43770517430045336, 3.5000364754311915]","[0.6333333333333333, 0.3960189672242197, 3.1666996682472686]"
X: 2017-01-12 00:00:00~2017-03-12 23:59:59 -> Y: 2017-03-13 00:00:00~2017-03-14 23:59:59,"[0.81481481481481477, 0.45854827783857016, 4.074116532247948]","[0.7407407407407407, 0.41777638518982718, 3.7118658164143565]"
X: 2017-01-13 00:00:00~2017-03-13 23:59:59 -> Y: 2017-03-14 00:00:00~2017-03-15 23:59:59,"[0.73684210526315785, 0.29180344953363557, 3.6842489215065175]","[0.84210526315789469, 0.33348965660986923, 4.2105701960074482]"
X: 2017-01-14 00:00:00~2017-03-14 23:59:59 -> Y: 2017-03-15 00:00:00~2017-03-16 23:59:59,"[0.6875, 0.45854827783857016, 3.4375358240842062]","[0.71875, 0.47939138137668702, 3.5937874524516702]"
X: 2017-01-15 00:00:00~2017-03-15 23:59:59 -> Y: 2017-03-16 00:00:00~2017-03-17 23:59:59,"[0.61363636363636365, 0.56276379552915434, 3.0682137933974731]","[0.65909090909090906, 0.60445000260538795, 3.2954888892046932]"
X: 2017-01-16 00:00:00~2017-03-16 23:59:59 -> Y: 2017-03-17 00:00:00~2017-03-18 23:59:59,"[0.65714285714285714, 0.47939138137668702, 3.2857485279558127]","[0.68571428571428572, 0.50026055237102662, 3.4287858259510164]"
X: 2017-01-17 00:00:00~2017-03-17 23:59:59 -> Y: 2017-03-18 00:00:00~2017-03-19 23:59:59,"[0.72222222222222221, 0.27096034599551871, 3.6111487444924992]","[0.66666666666666663, 0.25011724245740191, 3.3333680718392298]"
X: 2017-01-18 00:00:00~2017-03-18 23:59:59 -> Y: 2017-03-19 00:00:00~2017-03-20 23:59:59,"[0.55000000000000004, 0.22927413891928508, 2.7500286592673651]","[0.55000000000000004, 0.22929803533274273, 2.7503152847985826]"
X: 2017-01-19 00:00:00~2017-03-19 23:59:59 -> Y: 2017-03-20 00:00:00~2017-03-21 23:59:59,"[0.55882352941176472, 0.3960189672242197, 2.794146766100531]","[0.55882352941176472, 0.3960189672242197, 2.794146766100531]"
X: 2017-01-20 00:00:00~2017-03-20 23:59:59 -> Y: 2017-03-21 00:00:00~2017-03-22 23:59:59,"[0.3888888888888889, 0.29180344953363557, 1.9444647085728843]","[0.41666666666666669, 0.31271173190180851, 2.0837893712756901]"
X: 2017-01-21 00:00:00~2017-03-21 23:59:59 -> Y: 2017-03-22 00:00:00~2017-03-23 23:59:59,"[0.52380952380952384, 0.45854827783857016, 2.6190749135879665]","[0.47619047619047616, 0.41697070780777651, 2.3815976927620834]"
X: 2017-01-22 00:00:00~2017-03-22 23:59:59 -> Y: 2017-03-23 00:00:00~2017-03-24 23:59:59,"[0.66000000000000003, 0.68782241675785527, 3.3000343911208381]","[0.52000000000000002, 0.5419489317352788, 2.6001625846795209]"
X: 2017-01-23 00:00:00~2017-03-23 23:59:59 -> Y: 2017-03-24 00:00:00~2017-03-25 23:59:59,"[0.61111111111111116, 0.45854827783857016, 3.0555873991859612]","[0.58333333333333337, 0.4415707301687431, 2.942455623893883]"
X: 2017-01-24 00:00:00~2017-03-24 23:59:59 -> Y: 2017-03-25 00:00:00~2017-03-26 23:59:59,"[0.56521739130434778, 0.27096034599551871, 2.82611640873326]","[0.60869565217391308, 0.29334730225248823, 3.0596123624934521]"
X: 2017-01-25 00:00:00~2017-03-25 23:59:59 -> Y: 2017-03-26 00:00:00~2017-03-27 23:59:59,"[0.5357142857142857, 0.31264655307175238, 2.6785993434422384]","[0.5357142857142857, 0.313446870755407, 2.685456065196949]"
X: 2017-01-26 00:00:00~2017-03-26 23:59:59 -> Y: 2017-03-27 00:00:00~2017-03-28 23:59:59,"[0.54054054054054057, 0.4168620707623365, 2.7027308690588354]","[0.54054054054054057, 0.4168620707623365, 2.7027308690588354]"
X: 2017-01-27 00:00:00~2017-03-27 23:59:59 -> Y: 2017-03-28 00:00:00~2017-03-29 23:59:59,"[0.55813953488372092, 0.50023448491480382, 2.7907267578188901]","[0.44186046511627908, 0.3960189672242197, 2.209325349939955]"
X: 2017-01-28 00:00:00~2017-03-28 23:59:59 -> Y: 2017-03-29 00:00:00~2017-03-30 23:59:59,"[0.51282051282051277, 0.4168620707623365, 2.5641292860301768]","[0.4358974358974359, 0.35436969096878423, 2.1797370555513242]"
X: 2017-01-29 00:00:00~2017-03-29 23:59:59 -> Y: 2017-03-30 00:00:00~2017-03-31 23:59:59,"[0.42857142857142855, 0.31264655307175238, 2.1428794747537907]","[0.42857142857142855, 0.31266284523189164, 2.1429911412193849]"
X: 2017-01-30 00:00:00~2017-03-30 23:59:59 -> Y: 2017-03-31 00:00:00~2017-04-01 23:59:59,"[0.54761904761904767, 0.47939138137668702, 2.7381237732965107]","[0.52380952380952384, 0.45857217300677444, 2.6192113948236933]"
X: 2017-01-31 00:00:00~2017-03-31 23:59:59 -> Y: 2017-04-01 00:00:00~2017-04-02 23:59:59,"[0.61111111111111116, 0.45854827783857016, 3.0555873991859612]","[0.58333333333333337, 0.4377279833246483, 2.9168490533263856]"
X: 2017-02-01 00:00:00~2017-04-01 23:59:59 -> Y: 2017-04-02 00:00:00~2017-04-03 23:59:59,"[0.55000000000000004, 0.45854827783857016, 2.7500286592673651]","[0.625, 0.52107758845292063, 3.1250325673492783]"
X: 2017-02-02 00:00:00~2017-04-02 23:59:59 -> Y: 2017-04-03 00:00:00~2017-04-04 23:59:59,"[0.52500000000000002, 0.43770517430045336, 2.6250273565733937]","[0.59999999999999998, 0.50023448491480382, 3.0000312646553069]"
X: 2017-02-03 00:00:00~2017-04-03 23:59:59 -> Y: 2017-04-04 00:00:00~2017-04-05 23:59:59,"[0.57894736842105265, 0.45854827783857016, 2.894767009755121]","[0.57894736842105265, 0.45854827783857016, 2.894767009755121]"
X: 2017-02-04 00:00:00~2017-04-04 23:59:59 -> Y: 2017-04-05 00:00:00~2017-04-06 23:59:59,"[0.51351351351351349, 0.3960189672242197, 2.5675943256058935]","[0.59459459459459463, 0.45854827783857016, 2.9730039559647188]"
X: 2017-02-05 00:00:00~2017-04-05 23:59:59 -> Y: 2017-04-06 00:00:00~2017-04-07 23:59:59,"[0.60526315789473684, 0.47939138137668702, 3.0263473283803535]","[0.57894736842105265, 0.4588351843161792, 2.8965782201475845]"
X: 2017-02-06 00:00:00~2017-04-06 23:59:59 -> Y: 2017-04-07 00:00:00~2017-04-08 23:59:59,"[0.69047619047619047, 0.60445000260538795, 3.452416931547774]","[0.61904761904761907, 0.54192069199103743, 3.0952703524221423]"
X: 2017-02-07 00:00:00~2017-04-07 23:59:59 -> Y: 2017-04-08 00:00:00~2017-04-09 23:59:59,"[0.6071428571428571, 0.35433276014798604, 3.03574592256787]","[0.5357142857142857, 0.31266284523189164, 2.6787389265242316]"
X: 2017-02-08 00:00:00~2017-04-08 23:59:59 -> Y: 2017-04-09 00:00:00~2017-04-10 23:59:59,"[0.59999999999999998, 0.43770517430045336, 3.0000312646553069]","[0.65714285714285714, 0.47944134660482574, 3.286090989629475]"
X: 2017-02-09 00:00:00~2017-04-09 23:59:59 -> Y: 2017-04-10 00:00:00~2017-04-11 23:59:59,"[0.59999999999999998, 0.62529310614350475, 3.0000312646553069]","[0.64000000000000001, 0.66697931321973847, 3.2000333489656612]"
